Disease,Symptoms
Skin Cancer,Asymmetrical growth;Changes in existing moles;Bleeding lesions;New growths
Acne,Inflamed skin;Cystic acne;Pimples;Blackheads;Oily skin
Rosacea,Visible blood vessels;Eye irritation;Burning sensation;Redness
Acne,Blackheads;Cystic acne
Infestations/Bites,Lice;Swollen red spots
Warts,Itchy warts;Bumps on skin;Raised growths
Warts,Bumps on skin;Rough texture;Itchy warts;Raised growths
Acne,Whiteheads;Blackheads;Inflamed skin;Oily skin;Pimples
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Vasculitis,Rash;Skin sores
Lupus,Butterfly-shaped rash;Red patches
Psoriasis,Itchy patches;Thickened nails;Dry cracked skin
Actinic Keratosis,"Sun damage;Crusting;Dry, scaly patches;Red or brown spots;Itchy spots"
Unknown/Normal Variants,No symptoms;Minor blemishes
Vitiligo,Lightened skin;Irregular skin color;Loss of pigmentation;White patches
Psoriasis,Itchy patches;Scaly skin;Thickened nails
Infestations/Bites,Itchy rash;Visible bites;Lice;Swollen red spots
Acne,Inflamed skin;Pimples;Cystic acne;Blackheads
Benign Tumors,Flesh-colored bumps;Soft lumps
Warts,Raised growths;Bumps on skin;Hard lumps;Itchy warts;Rough texture
Moles,Raised moles;Multicolored moles;Dark spots;Irregular border
Vascular Tumors,Swelling;Red or purple spots
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Mouth sores;Red patches
Warts,Itchy warts;Rough texture;Raised growths
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Acne,Oily skin;Whiteheads;Blackheads
Moles,Itchy moles;Irregular border;Multicolored moles;Dark spots;Raised moles
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Lupus,Mouth sores;Sensitivity to sunlight;Scaly skin;Butterfly-shaped rash
Candidiasis,"Red, sore skin;Flaky skin;Itchy rash;Swollen skin;White patches"
Warts,Hard lumps;Bumps on skin;Raised growths;Rough texture;Itchy warts
Skin Cancer,Changes in existing moles;Bleeding lesions
Actinic Keratosis,"Red or brown spots;Itchy spots;Dry, scaly patches"
Lupus,Scaly skin;Mouth sores;Sensitivity to sunlight;Red patches;Butterfly-shaped rash
Warts,Rough texture;Hard lumps
Vasculitis,Swollen blood vessels;Skin sores;Rash;Fever;Red or purple patches
Vasculitis,Red or purple patches;Skin sores
Sun/Sunlight Damage,Dark spots;Freckles
Actinic Keratosis,Crusting;Itchy spots;Sun damage;Red or brown spots
Lichen Planus,White lines;Itchy lesions
Lupus,Sensitivity to sunlight;Mouth sores;Red patches;Scaly skin;Butterfly-shaped rash
Vitiligo,Lightened skin;Loss of pigmentation;White patches;Irregular skin color
Lupus,Butterfly-shaped rash;Red patches;Mouth sores
Eczema,Itchy skin;Cracked skin
Tinea,"Red, ring-shaped rash;Peeling skin;Itchy rash;Blisters"
Acne,Oily skin;Pimples
Vitiligo,White patches;Irregular skin color
Psoriasis,Itchy patches;Thickened nails;Scaly skin;Red skin;Dry cracked skin
Psoriasis,Red skin;Thickened nails;Scaly skin;Dry cracked skin
Actinic Keratosis,Itchy spots;Sun damage
Vasculitis,Red or purple patches;Fever;Rash;Skin sores
Vascular Tumors,Painful nodules;Visible blood vessels
Eczema,Cracked skin;Dry patches;Itchy skin
Sun/Sunlight Damage,Dark spots;Sunburn;Wrinkles
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Eczema,Cracked skin;Itchy skin;Redness
Eczema,Blisters;Dry patches;Swollen skin;Redness;Itchy skin
Sun/Sunlight Damage,Sunburn;Dark spots;Rough patches
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Acne,Inflamed skin;Blackheads;Oily skin
Vitiligo,Loss of pigmentation;Lightened skin
Vitiligo,Irregular skin color;Loss of pigmentation
Skin Cancer,Irregular borders;Bleeding lesions;Asymmetrical growth
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Actinic Keratosis,"Crusting;Sun damage;Dry, scaly patches;Itchy spots"
Vascular Tumors,Visible blood vessels;Red or purple spots
Candidiasis,"Red, sore skin;Swollen skin;Flaky skin;Itchy rash;White patches"
Vitiligo,Irregular skin color;Lightened skin;White patches;Loss of pigmentation
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Drug Eruption,Rash;Fever;Swelling
Lupus,Scaly skin;Butterfly-shaped rash;Sensitivity to sunlight
Infestations/Bites,Itchy rash;Swollen red spots;Visible bites;Lice
Tinea,"Red, ring-shaped rash;Burning sensation;Peeling skin;Itchy rash;Blisters"
Tinea,"Itchy rash;Red, ring-shaped rash;Burning sensation"
Eczema,Itchy skin;Blisters
Vasculitis,Red or purple patches;Rash;Swollen blood vessels;Skin sores
Sun/Sunlight Damage,Sunburn;Dark spots;Rough patches;Wrinkles;Freckles
Vascular Tumors,Painful nodules;Red or purple spots
Acne,Cystic acne;Oily skin
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Eczema,Redness;Dry patches
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Vitiligo,White patches;Lightened skin
Infestations/Bites,Lice;Swollen red spots
Psoriasis,Thickened nails;Itchy patches;Scaly skin;Dry cracked skin
Candidiasis,"White patches;Flaky skin;Itchy rash;Red, sore skin"
Vasculitis,Fever;Skin sores;Rash
Candidiasis,"Red, sore skin;White patches"
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Candidiasis,"Flaky skin;Red, sore skin;White patches;Swollen skin"
Moles,Dark spots;Raised moles
Drug Eruption,Itching;Red spots
Rosacea,Eye irritation;Burning sensation;Redness;Visible blood vessels;Pimple-like bumps
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Tinea,Peeling skin;Burning sensation;Blisters
Warts,Rough texture;Hard lumps
Rosacea,Burning sensation;Visible blood vessels;Pimple-like bumps;Eye irritation;Redness
Lichen Planus,Itchy lesions;White lines;Purple flat-topped bumps
Lupus,Scaly skin;Butterfly-shaped rash;Mouth sores;Red patches;Sensitivity to sunlight
Candidiasis,"Swollen skin;Red, sore skin;Itchy rash;Flaky skin"
Warts,Rough texture;Bumps on skin;Hard lumps;Itchy warts;Raised growths
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Skin Cancer,Bleeding lesions;Asymmetrical growth;New growths;Changes in existing moles
Bullous Disorders,Painful blisters;Itchy blisters
Vitiligo,White patches;Irregular skin color;Loss of pigmentation;Lightened skin
Infestations/Bites,Swollen red spots;Wheals;Itchy rash;Visible bites;Lice
Eczema,Redness;Swollen skin;Itchy skin
Tinea,"Red, ring-shaped rash;Peeling skin;Burning sensation;Blisters;Itchy rash"
Eczema,Itchy skin;Blisters;Dry patches
Vasculitis,Skin sores;Fever;Red or purple patches;Rash;Swollen blood vessels
Vasculitis,Rash;Skin sores;Fever;Swollen blood vessels
Actinic Keratosis,"Crusting;Red or brown spots;Dry, scaly patches;Itchy spots"
Actinic Keratosis,Crusting;Sun damage;Itchy spots
Vasculitis,Swollen blood vessels;Skin sores;Rash;Red or purple patches
Moles,Irregular border;Itchy moles;Raised moles;Dark spots;Multicolored moles
Rosacea,Eye irritation;Visible blood vessels;Pimple-like bumps;Burning sensation
Sun/Sunlight Damage,Rough patches;Wrinkles
Psoriasis,Dry cracked skin;Itchy patches;Scaly skin;Red skin
Lichen Planus,White lines;Inflammation
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Candidiasis,"White patches;Red, sore skin;Swollen skin"
Lupus,Sensitivity to sunlight;Scaly skin;Butterfly-shaped rash
Infestations/Bites,Itchy rash;Swollen red spots;Wheals;Lice
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Vitiligo,Lightened skin;White patches
Benign Tumors,Soft lumps;Flesh-colored bumps
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions
Warts,Rough texture;Itchy warts;Bumps on skin;Raised growths;Hard lumps
Infestations/Bites,Wheals;Lice;Visible bites;Swollen red spots;Itchy rash
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Vitiligo,White patches;Lightened skin;Loss of pigmentation;Irregular skin color
Candidiasis,"Swollen skin;White patches;Flaky skin;Itchy rash;Red, sore skin"
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Benign Tumors,Soft lumps;Flesh-colored bumps
Vasculitis,Rash;Skin sores;Fever
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Acne,Blackheads;Whiteheads;Oily skin
Rosacea,Visible blood vessels;Burning sensation;Redness;Pimple-like bumps
Acne,Blackheads;Whiteheads;Pimples
Psoriasis,Itchy patches;Red skin;Dry cracked skin
Lichen Planus,Purple flat-topped bumps;Itchy lesions;White lines;Inflammation
Rosacea,Pimple-like bumps;Burning sensation;Eye irritation;Visible blood vessels
Psoriasis,Red skin;Dry cracked skin
Acne,Blackheads;Cystic acne;Whiteheads;Inflamed skin;Pimples
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Unknown/Normal Variants,Minor blemishes;No symptoms
Actinic Keratosis,Red or brown spots;Crusting;Itchy spots
Vasculitis,Red or purple patches;Rash;Fever;Swollen blood vessels;Skin sores
Vasculitis,Rash;Fever;Swollen blood vessels
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation;Itchy lesions
Skin Cancer,Changes in existing moles;Asymmetrical growth;Bleeding lesions
Candidiasis,"Itchy rash;White patches;Swollen skin;Red, sore skin"
Warts,Hard lumps;Raised growths;Itchy warts;Bumps on skin;Rough texture
Vascular Tumors,Visible blood vessels;Painful nodules
Lichen Planus,Purple flat-topped bumps;Inflammation;White lines;Itchy lesions
Vitiligo,Irregular skin color;White patches;Loss of pigmentation
Candidiasis,White patches;Itchy rash;Flaky skin
Skin Cancer,Changes in existing moles;New growths;Bleeding lesions;Irregular borders
Acne,Whiteheads;Blackheads;Pimples;Cystic acne
Drug Eruption,Swelling;Hives;Rash;Red spots;Fever
Tinea,Peeling skin;Burning sensation;Itchy rash
Infestations/Bites,Wheals;Lice;Swollen red spots;Itchy rash;Visible bites
Drug Eruption,Itching;Red spots;Fever;Swelling
Vasculitis,Rash;Red or purple patches;Skin sores
Vascular Tumors,Painful nodules;Visible blood vessels
Warts,Rough texture;Itchy warts;Raised growths;Hard lumps
Infestations/Bites,Visible bites;Lice
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Drug Eruption,Rash;Red spots
Vascular Tumors,Visible blood vessels;Painful nodules
Candidiasis,"Itchy rash;Red, sore skin;Flaky skin"
Vitiligo,Irregular skin color;Lightened skin;Loss of pigmentation;White patches
Moles,Irregular border;Dark spots;Multicolored moles;Itchy moles
Moles,Raised moles;Dark spots;Multicolored moles
Lupus,Butterfly-shaped rash;Mouth sores;Scaly skin;Sensitivity to sunlight;Red patches
Drug Eruption,Rash;Hives;Itching
Lupus,Scaly skin;Red patches;Mouth sores
Warts,Hard lumps;Bumps on skin
Tinea,Peeling skin;Burning sensation;Blisters
Infestations/Bites,Lice;Itchy rash;Swollen red spots;Wheals
Actinic Keratosis,"Red or brown spots;Dry, scaly patches"
Vascular Tumors,Visible blood vessels;Swelling;Painful nodules;Red or purple spots
Candidiasis,White patches;Flaky skin;Swollen skin
Sun/Sunlight Damage,Wrinkles;Rough patches
Vascular Tumors,Red or purple spots;Painful nodules
Vasculitis,Red or purple patches;Fever;Skin sores
Lupus,Scaly skin;Sensitivity to sunlight;Red patches;Butterfly-shaped rash;Mouth sores
Skin Cancer,Asymmetrical growth;New growths
Infestations/Bites,Wheals;Itchy rash;Swollen red spots
Drug Eruption,Red spots;Itching;Swelling
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Moles,Multicolored moles;Dark spots;Itchy moles;Irregular border;Raised moles
Actinic Keratosis,"Dry, scaly patches;Crusting;Itchy spots;Sun damage;Red or brown spots"
Moles,Irregular border;Raised moles;Multicolored moles;Dark spots;Itchy moles
Tinea,"Red, ring-shaped rash;Blisters"
Moles,Multicolored moles;Raised moles;Irregular border;Itchy moles;Dark spots
Warts,Rough texture;Bumps on skin;Raised growths
Warts,Itchy warts;Raised growths;Rough texture;Bumps on skin
Vitiligo,White patches;Irregular skin color;Loss of pigmentation;Lightened skin
Lichen Planus,Purple flat-topped bumps;Inflammation
Skin Cancer,Asymmetrical growth;Irregular borders;New growths;Changes in existing moles;Bleeding lesions
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth;Changes in existing moles;New growths
Benign Tumors,Soft lumps;Non-cancerous growths
Eczema,Redness;Dry patches
Eczema,Swollen skin;Blisters;Cracked skin
Infestations/Bites,Itchy rash;Visible bites;Wheals
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Unknown/Normal Variants,Minor blemishes;No symptoms
Vasculitis,Red or purple patches;Rash;Skin sores
Benign Tumors,Non-cancerous growths;Soft lumps
Warts,Itchy warts;Hard lumps;Bumps on skin;Rough texture
Sun/Sunlight Damage,Sunburn;Freckles;Wrinkles;Rough patches;Dark spots
Eczema,Dry patches;Swollen skin;Cracked skin
Infestations/Bites,Itchy rash;Swollen red spots
Vasculitis,Rash;Skin sores
Acne,Oily skin;Whiteheads;Blackheads
Lupus,Scaly skin;Butterfly-shaped rash
Sun/Sunlight Damage,Rough patches;Sunburn
Psoriasis,Thickened nails;Scaly skin;Itchy patches
Infestations/Bites,Visible bites;Itchy rash;Wheals;Lice
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Infestations/Bites,Swollen red spots;Visible bites
Vitiligo,Irregular skin color;White patches
Vitiligo,Lightened skin;Irregular skin color;White patches
Benign Tumors,Non-cancerous growths;Soft lumps
Vascular Tumors,Visible blood vessels;Red or purple spots
Sun/Sunlight Damage,Freckles;Wrinkles
Vasculitis,Fever;Rash;Red or purple patches
Psoriasis,Itchy patches;Scaly skin;Thickened nails;Dry cracked skin
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Benign Tumors,Non-cancerous growths;Soft lumps
Moles,Raised moles;Irregular border;Itchy moles;Dark spots
Moles,Dark spots;Irregular border;Itchy moles;Multicolored moles
Psoriasis,Thickened nails;Dry cracked skin
Lichen Planus,Inflammation;White lines;Purple flat-topped bumps
Drug Eruption,Swelling;Rash
Lupus,Scaly skin;Sensitivity to sunlight
Eczema,Itchy skin;Cracked skin;Blisters
Drug Eruption,Rash;Itching
Infestations/Bites,Wheals;Visible bites;Swollen red spots
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Drug Eruption,Red spots;Hives;Fever;Rash
Actinic Keratosis,"Itchy spots;Crusting;Red or brown spots;Dry, scaly patches;Sun damage"
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Acne,Oily skin;Inflamed skin
Infestations/Bites,Visible bites;Swollen red spots;Itchy rash;Wheals
Vitiligo,White patches;Lightened skin
Eczema,Dry patches;Itchy skin;Swollen skin;Cracked skin;Blisters
Sun/Sunlight Damage,Wrinkles;Sunburn;Rough patches;Dark spots;Freckles
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Vascular Tumors,Visible blood vessels;Swelling
Candidiasis,Itchy rash;White patches;Flaky skin;Swollen skin
Tinea,Blisters;Peeling skin;Burning sensation
Vascular Tumors,Painful nodules;Visible blood vessels
Lichen Planus,White lines;Purple flat-topped bumps
Rosacea,Visible blood vessels;Burning sensation
Lichen Planus,White lines;Inflammation
Moles,Itchy moles;Multicolored moles;Raised moles;Irregular border;Dark spots
Vitiligo,Irregular skin color;White patches;Loss of pigmentation;Lightened skin
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Skin Cancer,Irregular borders;Bleeding lesions;Changes in existing moles
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Lupus,Mouth sores;Butterfly-shaped rash;Sensitivity to sunlight;Red patches;Scaly skin
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Sun/Sunlight Damage,Rough patches;Freckles;Sunburn;Wrinkles;Dark spots
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Actinic Keratosis,Red or brown spots;Sun damage
Infestations/Bites,Lice;Visible bites;Swollen red spots;Itchy rash;Wheals
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Sun/Sunlight Damage,Sunburn;Freckles;Dark spots;Rough patches
Vitiligo,White patches;Lightened skin;Loss of pigmentation
Vascular Tumors,Painful nodules;Swelling
Moles,Multicolored moles;Irregular border;Itchy moles;Raised moles;Dark spots
Sun/Sunlight Damage,Dark spots;Rough patches
Sun/Sunlight Damage,Dark spots;Rough patches;Freckles
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Psoriasis,Dry cracked skin;Itchy patches;Scaly skin
Skin Cancer,Irregular borders;Bleeding lesions
Lichen Planus,White lines;Itchy lesions;Inflammation
Skin Cancer,Irregular borders;New growths
Drug Eruption,Swelling;Rash;Fever;Red spots;Itching
Drug Eruption,Itching;Hives;Rash;Red spots
Candidiasis,"White patches;Red, sore skin;Itchy rash;Swollen skin"
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Tinea,"Peeling skin;Blisters;Burning sensation;Itchy rash;Red, ring-shaped rash"
Psoriasis,Itchy patches;Scaly skin
Unknown/Normal Variants,Minor blemishes;No symptoms
Drug Eruption,Rash;Itching
Acne,Inflamed skin;Pimples
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Actinic Keratosis,"Crusting;Dry, scaly patches"
Candidiasis,"Red, sore skin;Swollen skin;Itchy rash"
Rosacea,Burning sensation;Redness;Pimple-like bumps;Eye irritation;Visible blood vessels
Skin Cancer,Irregular borders;New growths
Warts,Bumps on skin;Rough texture;Hard lumps;Itchy warts
Actinic Keratosis,Sun damage;Crusting;Red or brown spots
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Skin Cancer,Asymmetrical growth;New growths
